date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:56:32	66/66	---M-Z	200	added ('OK')	text/plain	date:Sun,%2025%20May%202014%2006:03:11%20GMT	http://cardaxpharma.com/robots.txt		(from )
13:56:32	71633/71633	---M-Z	200	added ('OK')	text/html	etag:%221e0337-3648-4fa3317a27dcf%22	http://cardaxpharma.com/	F:/My%20Websites/cardaxpharma/cardaxpharma.com/index.html	(from )
13:56:34	309823/309823	---M-Z	200	added ('OK')	text/css	etag:%22203682-c3e7-4fa3069304163%22	http://cardaxpharma.com/wp-content/cache/minify/000000/XY5LDsIwDEQvRHFvVJngokBiRx6rVW7PZxWyfW9GMyuBSxYNSgD5A5f1j-ymsfApsCrXmnXSCOF7h8TcK1kl2RhH9CJTygXNFPkYxdlu_BLv9MSWrDaDODG-I7_SgLfdP__e.css	F:/My%20Websites/cardaxpharma/cardaxpharma.com/wp-content/cache/minify/000000/XY5LDsIwDEQvRHFvVJngokBiRx6rVW7PZxWyfW9GMyuBSxYNSgD5A5f1j-ymsfApsCrXmnXSCOF7h8TcK1kl2RhH9CJTygXNFPkYxdlu_BLv9MSWrDaDODG-I7_SgLfdP__e.css	(from http://cardaxpharma.com/)
13:56:34	411/411	---M--	200	added ('OK')	image/png	etag:%2221b9b-19b-4f1d5c2557613%22	http://cardaxpharma.com/wp-content/uploads/2014/02/favicon.png	F:/My%20Websites/cardaxpharma/cardaxpharma.com/wp-content/uploads/2014/02/favicon.png	(from http://cardaxpharma.com/)
13:56:36	117271/117271	---M-Z	200	added ('OK')	application/x-javascript	etag:%22203685-a04d-4fa3069462757%22	http://cardaxpharma.com/wp-content/cache/minify/000000/M9bPKixNLarUMYYydHMz04sSS1L1cjPzdAz0ixNzMlPzSvSzivVz81NSi_Iyq4oA.js	F:/My%20Websites/cardaxpharma/cardaxpharma.com/wp-content/cache/minify/000000/M9bPKixNLarUMYYydHMz04sSS1L1cjPzdAz0ixNzMlPzSvSzivVz81NSi_Iyq4oA.js	(from http://cardaxpharma.com/)
13:56:36	1003/1003	---M-Z	200	added ('OK')	text/xml	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	http://cardaxpharma.com/home/feed/	F:/My%20Websites/cardaxpharma/cardaxpharma.com/home/feed/index.html	(from http://cardaxpharma.com/)
13:56:36	733/733	---M-Z	200	added ('OK')	text/xml	date:Sun,%2025%20May%202014%2006:03:15%20GMT	http://cardaxpharma.com/xmlrpc.php?rsd	F:/My%20Websites/cardaxpharma/cardaxpharma.com/xmlrpc0db0.php	(from http://cardaxpharma.com/)
13:56:37	1045/1045	---M-Z	200	added ('OK')	text/xml	etag:%221e44ec-415-4f1d2bc18371c%22	http://cardaxpharma.com/wp-includes/wlwmanifest.xml	F:/My%20Websites/cardaxpharma/cardaxpharma.com/wp-includes/wlwmanifest.xml	(from http://cardaxpharma.com/)
13:56:37	1198/1198	---M-Z	404	error ('Not%20Found')	text/xml	date:Sun,%2025%20May%202014%2006:03:15%20GMT	http://cardaxpharma.com/comments/feed/	F:/My%20Websites/cardaxpharma/cardaxpharma.com/comments/feed/index.html	(from http://cardaxpharma.com/)
13:56:37	15630/15630	---M-Z	200	added ('OK')	text/xml	date:Thu,%2022%20May%202014%2023:01:21%20GMT	http://cardaxpharma.com/feed/	F:/My%20Websites/cardaxpharma/cardaxpharma.com/feed/index.html	(from http://cardaxpharma.com/)
